營業日期	帳單編號	購買時間	商品編號
20200413	2020041326	2020/4/13 21:58	7650044
20200413	2020041326	2020/4/13 21:58	7650044
20200413	2020041326	2020/4/13 21:58	7650044
20200413	2020041326	2020/4/13 21:58	7650044
20200413	2020041327	2020/4/13 22:05	7660103
20200413	2020041327	2020/4/13 22:05	7690454
20200413	2020041327	2020/4/13 22:05	7690393
20200413	2020041327	2020/4/13 22:05	9660075
20200413	2020041327	2020/4/13 22:05	680354
20200413	2020041328	2020/4/13 22:23	9650055
20200413	2020041328	2020/4/13 22:23	1650001
20200413	2020041328	2020/4/13 22:23	7690454
20200413	2020041328	2020/4/13 22:23	7700514
20200413	2020041328	2020/4/13 22:23	1650001
20200413	2020041328	2020/4/13 22:23	1650001
20200413	2020041328	2020/4/13 22:23	4650004
20200413	2020041328	2020/4/13 22:23	9660060
20200413	2020041328	2020/4/13 22:23	9660060
20200413	2020041329	2020/4/13 22:42	7660103
20200413	2020041329	2020/4/13 22:42	7690454
20200413	2020041329	2020/4/13 22:42	7700514
20200413	2020041329	2020/4/13 22:42	1650002
20200413	2020041329	2020/4/13 22:42	9660075
20200413	2020041329	2020/4/13 22:42	4660136
20200413	2020041330	2020/4/13 22:48	9660065
20200413	2020041331	2020/4/13 23:16	9650012
20200413	2020041331	2020/4/13 23:16	9660061
20200413	2020041331	2020/4/13 23:16	9751022
20200413	2020041331	2020/4/13 23:16	680354
20200413	2020041331	2020/4/13 23:16	7690393
20200413	2020041331	2020/4/13 23:16	9660075
20200413	2020041331	2020/4/13 23:16	1650022
20200413	2020041331	2020/4/13 23:16	1650022
20200413	2020041332	2020/4/13 23:18	4650006
20200413	2020041332	2020/4/13 23:18	5660057
20200413	2020041332	2020/4/13 23:18	7650044
20200413	2020041332	2020/4/13 23:18	7650044
20200413	2020041332	2020/4/13 23:18	9660060
20200413	2020041332	2020/4/13 23:18	7650044
20200413	2020041333	2020/4/13 23:24	6570028
20200413	2020041333	2020/4/13 23:24	2650026
20200413	2020041333	2020/4/13 23:24	4650016
20200413	2020041333	2020/4/13 23:24	5660058
20200413	2020041333	2020/4/13 23:24	8670164
20200413	2020041333	2020/4/13 23:24	7660100
20200413	2020041333	2020/4/13 23:24	4650014
20200413	2020041333	2020/4/13 23:24	7660062
20200413	2020041333	2020/4/13 23:24	9660060
20200413	2020041333	2020/4/13 23:24	9660061
20200413	2020041333	2020/4/13 23:24	9650041
20200413	2020041333	2020/4/13 23:24	7660100
20200413	2020041333	2020/4/13 23:24	7650003
20200413	2020041333	2020/4/13 23:24	7650003
20200413	2020041334	2020/4/13 23:26	7650044
20200413	2020041334	2020/4/13 23:26	1650002
20200413	2020041334	2020/4/13 23:26	7690393
20200413	2020041335	2020/4/13 23:43	9751022
20200413	2020041335	2020/4/13 23:43	7690454
20200413	2020041335	2020/4/13 23:43	7660103
20200413	2020041335	2020/4/13 23:43	1650002
20200413	2020041336	2020/4/14 00:02	7650003
20200413	2020041336	2020/4/14 00:02	9650002
20200413	2020041336	2020/4/14 00:02	9660060
20200413	2020041336	2020/4/14 00:02	5660058
20200413	2020041337	2020/4/14 00:17	7650003
20200413	2020041337	2020/4/14 00:17	4660092
20200413	2020041337	2020/4/14 00:17	7650003
20200413	2020041337	2020/4/14 00:17	4660092
20200413	2020041337	2020/4/14 00:17	7650003
20200413	2020041338	2020/4/14 00:33	7690393
20200413	2020041338	2020/4/14 00:33	4650016
20200413	2020041338	2020/4/14 00:33	9660060
20200413	2020041338	2020/4/14 00:33	9660075
